"","group","id","baselang","block","itemnum","currtrial","trialtype","condition","locationcrit","cstype","csdetail","lentwobefore","lenonebefore","lencrit","lenoneafter","lentwoafter","lenthreeafter","Sentence..or.sentence.MD5.","Reading.time_-2","Reading.time_-1","Reading.time_0","Reading.time_1","Reading.time_2","Reading.time_3","Parameter_-2","Parameter_-1","Parameter_0","Parameter_1","Parameter_2","Parameter_3","Value_-2","Value_-1","Value_0","Value_1","Value_2","Value_3","Flankercongruency","FlankerRT","Flanktimeout","FlankerAcc","Flankercorrect_response","QuestionRT","QuestionAcc","Questioncorrect_response"
"1","1","39486","English",1,19,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","masc",3,3,5,4,3,8,"The pianist won the prize with his original song.",919,704,795,510,701,529,"3","4","5","6","7","8","won","the","prize","with","his","original","Cong",579,"NO",1,"J",1758,1,"F"
"2","1","39486","English",1,24,"Mono","Sentence","CC_Flanker_Sent",7,"perfect","aux",3,13,4,5,3,12,"The dean noticed that the receptionists have filed the applications in alphabetical order.",396,756,885,676,1944,460,"5","6","7","8","9","10","the","receptionists","have","filed","the","applications","Cong",476,"NO",1,"F",1372,1,"F"
"3","1","39486","English",1,29,"CS","Sentence","II_Flanker_Sent",5,"det-noun","fem",4,2,5,2,4,7,"El luchador ganó la fight in five minutes.",576,541,904,431,509,314,"3","4","5","6","7","8","ganó","la","fight","in","five","minutes.","Incong",599,"NO",1,"F",1512,1,"J"
"4","1","39486","English",1,34,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","fem",4,3,4,2,3,7,"The winner felt the gaze of his jealous adversary.",460,623,413,372,342,391,"3","4","5","6","7","8","felt","the","gaze","of","his","jealous","Incong",438,"NO",1,"F",1354,1,"F"
"5","1","39486","English",1,39,"Mono","Sentence","IC_Flanker_Sent",11,"det-noun","masc",7,3,6,6,2,9,"Actually%2C the chair from the kitchen is sealed because the owners bought it yesterday.",499,404,380,383,319,363,"9","10","11","12","13","14","because","the","owners","bought","it","yesterday.","Incong",488,"NO",1,"J",1347,1,"F"
"6","1","39486","English",1,45,"CS","Sentence","II_Flanker_Sent",7,"perfect","aux",3,11,4,6,3,9,"El dueño dijo que los arquitectos have signed the documents for the construction.",365,633,466,634,375,408,"5","6","7","8","9","10","los","arquitectos","have","signed","the","documents","Incong",634,"NO",1,"J",1298,0,"F"
"7","1","39486","English",1,50,"Mono","Sentence","IC_Flanker_Sent",7,"perfect","aux",3,8,4,8,3,7,"The nurse discovered that the surgeons have deceived the patient about his illness.",348,446,590,628,513,458,"5","6","7","8","9","10","the","surgeons","have","deceived","the","patient","Incong",589,"NO",1,"J",1908,1,"F"
"8","1","39486","English",1,58,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","masc",4,2,4,3,3,9,"La muchacha tiró el bone for her energetic dog.",399,395,349,573,302,378,"3","4","5","6","7","8","tiró","el","bone","for","her","energetic","Cong",562,"NO",1,"F",1096,1,"J"
"9","1","39486","English",1,63,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","fem",6,3,4,2,3,6,"The orchestra played the song by the German composer.",862,407,474,372,323,354,"3","4","5","6","7","8","played","the","song","by","the","German","Incong",431,"NO",1,"F",1252,1,"F"
"10","1","39486","English",1,68,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","fem",5,3,6,3,3,7,"The president wrote the letter for the senator.",857,494,760,511,615,359,"3","4","5","6","7","8","wrote","the","letter","for","the","senator.","Incong",523,"NO",1,"F",1544,1,"J"
